Sample;M;intensity
WAT1;1075.4;79350942.9
WAT1;1116.4;12981291.4
WAT1;1237.5;144461581.7
WAT1;1254.5;23578275
WAT1;1262.5;22505935
WAT1;1278.5;35672418.6
WAT1;1399.5;65159142.6
WAT1;1416.5;38615528.6
WAT1;1424.5;52288773
WAT1;1440.5;10943277.4
WAT1;1481.6;15010826.5
WAT1;1561.6;17233777.4
WAT1;1569.6;14836864
WAT1;1578.6;36087176.2
WAT1;1585.6;7477313
WAT1;1602.6;15222306
WAT1;1627.6;24748686
WAT1;1643.6;86562371.5
WAT1;1715.6;11433812
WAT1;1723.6;31174164.7
WAT1;1731.6;84890678
WAT1;1740.6;77395859.1
WAT1;1746.6;6899928.7
WAT1;1747.6;18687924
WAT1;1772.7;10425785
WAT1;1776.7;6059892
WAT1;1788.7;11193593.5
WAT1;1789.7;129846804
WAT1;1805.7;5994698
WAT1;1811.7;12508036.5
WAT1;1877.7;5426449
WAT1;1885.7;50658280.5
WAT1;1893.7;37396005
WAT1;1902.7;219245057.8
WAT1;1909.7;14629890
WAT1;1918.7;62017914
WAT1;1930.7;28914324.2
WAT1;1934.7;199922951
WAT1;1950.7;142383217
WAT1;1951.7;13356577
WAT1;1967.7;16482157
WAT1;1975.8;8297703.3
WAT1;1979.8;10218255
WAT1;2047.7;6130832.9
WAT1;2080.8;253258092
WAT1;2096.8;729545283
WAT1;2112.8;18127701
WAT1;2113.8;41117677
WAT1;2118.7;92375235
WAT1;2125.8;18068381
WAT1;2137.8;5290122.9
WAT1;2154.8;5738138
WAT1;2170.9;8465511
WAT1;2186.9;27775229
WAT1;2225.8;46318825
WAT1;2241.8;18997858
WAT1;2242.8;79485430
WAT1;2256.8;5526886
WAT1;2257.8;359070468
WAT1;2258.8;86295826
WAT1;2264.8;8284037
WAT1;2287.9;5507305
WAT1;2371.9;157750388
WAT1;2387.9;73260236
WAT1;2403.8;510437441
WAT1;2403.9;50288871.5
WAT1;2409.8;6171470
WAT1;2410.8;13727903
WAT1;2420.9;8808198
WAT1;2461.9;30609085
WAT1;2463.8;20882454
WAT1;2494;16383515
WAT2;1059.4;6622214
WAT2;1075.4;55281839.9
WAT2;1237.5;110091980.1
WAT2;1254.5;14315158
WAT2;1259.4;66930859
WAT2;1262.5;21217438
WAT2;1278.5;21141999.4
WAT2;1399.5;51403483.9
WAT2;1416.5;22454645.2
WAT2;1424.5;47771789
WAT2;1465.6;17260173.6
WAT2;1561.6;13590726.8
WAT2;1569.6;11629342
WAT2;1578.6;24244553
WAT2;1585.6;7273431
WAT2;1602.6;7977729
WAT2;1627.6;46870655
WAT2;1643.6;53029626
WAT2;1715.6;6001277
WAT2;1723.6;23099862.3
WAT2;1731.6;67405799
WAT2;1738.6;11865968.7
WAT2;1740.6;55709687.2
WAT2;1746.6;6224918.5
WAT2;1747.6;17960622
WAT2;1753.6;7536279
WAT2;1772.7;5946656
WAT2;1788.7;11198918
WAT2;1789.7;209751791
WAT2;1827.6;14722109
WAT2;1879.8;5834176
WAT2;1885.7;35812839.9
WAT2;1893.7;25966117
WAT2;1902.7;153445433.8
WAT2;1908.6;19478476
WAT2;1909.7;12861529
WAT2;1918.7;27761848
WAT2;1934.7;117311996
WAT2;1950.7;102688052.6
WAT2;1951.7;17933613
WAT2;1967.7;10608058
WAT2;1975.8;5875511.8
WAT2;2080.8;143736168
WAT2;2094.7;44537051
WAT2;2096.8;458106000.9
WAT2;2112.8;10588474
WAT2;2113.8;45783887
WAT2;2118.7;66738709
WAT2;2125.8;7991225
WAT2;2141.7;16539883
WAT2;2154.8;8108107
WAT2;2186.9;11657179
WAT2;2225.8;47291316
WAT2;2241.8;20848775
WAT2;2242.8;43590623
WAT2;2256.8;12950438
WAT2;2257.8;340295685.6
WAT2;2258.8;44192033
WAT2;2371.9;203315549
WAT2;2386.8;5305091
WAT2;2387.9;98040528
WAT2;2401.8;72709720
WAT2;2402.8;14449226
WAT2;2403.8;644020443
WAT2;2403.9;34835322.1
WAT2;2410.8;25382675
WAT2;2416.9;7708734
WAT2;2420.9;11579119
WAT2;2425.8;114416518
WAT2;2432.9;5661852
WAT2;2447.8;25001963
WAT2;2448.9;36302782
WAT2;2461.9;15573896
WAT2;2462.9;6310643
WAT2;2463.8;15029278
WAT2;2464.8;14941323
WAT2;2494;14038917
WAT2;2769;13740173
bladder1;1014.3;24728398
bladder1;1075.4;282397404.9
bladder1;1092.4;8005847
bladder1;1116.4;32441952
bladder1;1176.4;16283575.3
bladder1;1235.4;19284839
bladder1;1237.5;700385588.3
bladder1;1254.5;140717018
bladder1;1262.5;12550139.6
bladder1;1278.5;67014616.7
bladder1;1319.5;10283842
bladder1;1327.6;11386154
bladder1;1399.5;211499604
bladder1;1414.5;6986137
bladder1;1416.5;150579971.8
bladder1;1421.5;65860671.1
bladder1;1424.5;40600620.1
bladder1;1440.5;30170857
bladder1;1481.6;25842362
bladder1;1489.6;7156176
bladder1;1561.6;57683464.6
bladder1;1569.6;21014515
bladder1;1578.6;150947538.1
bladder1;1583.5;15782742
bladder1;1585.6;33638209
bladder1;1602.6;43698600.3
bladder1;1643.6;118447947.4
bladder1;1707.6;11746645
bladder1;1715.6;11386468
bladder1;1723.6;94911539.8
bladder1;1731.6;66258543
bladder1;1738.6;17222480.6
bladder1;1740.6;276836367.1
bladder1;1746.6;21079126.4
bladder1;1747.6;55566710
bladder1;1748.6;7121348
bladder1;1753.6;6099379
bladder1;1757.7;9556848
bladder1;1764.6;6526453.6
bladder1;1767.6;13240706.7
bladder1;1768.7;37542386.5
bladder1;1769.6;5372549
bladder1;1772.7;12537617
bladder1;1788.7;39423458.3
bladder1;1789.7;59334763.4
bladder1;1805.7;13745901.7
bladder1;1813.7;10894159
bladder1;1869.6;12539558
bladder1;1877.7;7556455
bladder1;1885.7;78024598.4
bladder1;1893.7;58330461
bladder1;1900.7;19511200.8
bladder1;1902.7;345823128.1
bladder1;1908.7;5862396
bladder1;1909.7;56816599
bladder1;1915.7;5533677.4
bladder1;1918.7;39418943
bladder1;1919.7;6551369
bladder1;1930.7;41872815.8
bladder1;1934.7;212863832
bladder1;1948.7;13105925.6
bladder1;1950.7;438831588.1
bladder1;1952.7;11648099.6
bladder1;1956.7;22723863
bladder1;1967.7;11487743
bladder1;1972.7;55514841
bladder1;1975.8;11397293
bladder1;1995.8;20530974
bladder1;2008.8;25303478
bladder1;2038.8;10145940
bladder1;2040.8;9088690
bladder1;2055.7;7388985
bladder1;2064.7;26023120
bladder1;2080.8;212514379
bladder1;2081.8;43086808.2
bladder1;2094.7;8974782
bladder1;2096.8;730654439
bladder1;2112.8;44485739
bladder1;2118.7;92877578
bladder1;2121.8;7742987
bladder1;2124.7;11495671
bladder1;2137.8;16195766.1
bladder1;2141.7;22460149
bladder1;2141.8;54231487
bladder1;2147.8;6611996
bladder1;2154.8;18657409.6
bladder1;2170.8;8375989
bladder1;2170.9;6582669
bladder1;2186.9;29843348
bladder1;2242.8;60824630.8
bladder1;2257.8;24438529.6
bladder1;2258.8;132163002.4
bladder1;2283.8;6681097
bladder1;2299.8;8662243
bladder1;2299.9;9862774.5
bladder1;2303.9;8368006
bladder1;2315.8;14935161
bladder1;2461.9;39916047
bladder1;2503.9;7689110.3
bladder1;2610;7502843.3
bladder1;3161.2;29921393
bladder2;1060.4;5657997
bladder2;1073.4;16050525.3
bladder2;1075.4;383044553.1
bladder2;1077.9;5762136
bladder2;1081.4;8791043
bladder2;1092.4;10049508
bladder2;1097.4;56671477.8
bladder2;1113.4;5228873
bladder2;1116.4;57138974
bladder2;1237.5;1282231752
bladder2;1253.5;8940043
bladder2;1254.5;243316667.8
bladder2;1257.4;17999137
bladder2;1259.4;380398130.6
bladder2;1262.5;43252988
bladder2;1278.5;128763564.3
bladder2;1319.5;8905567.8
bladder2;1327.6;10303852
bladder2;1399.5;125416702.6
bladder2;1416.5;92929515.3
bladder2;1421.5;55334668
bladder2;1424.5;127930675.2
bladder2;1440.5;34555539
bladder2;1465.6;12808109
bladder2;1481.6;42338747.9
bladder2;1561.6;23351192.8
bladder2;1569.6;29548791
bladder2;1576.6;6586743.4
bladder2;1578.6;61876642.3
bladder2;1583.5;7469103
bladder2;1585.6;42031301
bladder2;1586.6;7887049
bladder2;1602.6;49083787
bladder2;1627.6;22748935
bladder2;1641.6;19154367
bladder2;1643.6;237773072.4
bladder2;1684.6;7017694
bladder2;1707.6;20355768
bladder2;1715.6;24612353
bladder2;1723.6;32904342.9
bladder2;1725.7;14976515
bladder2;1731.6;106846909.7
bladder2;1733.7;5066536
bladder2;1740.6;97547100.1
bladder2;1746.6;8117190
bladder2;1747.6;64521719.5
bladder2;1748.6;10513672.5
bladder2;1753.6;10993051
bladder2;1764.6;16200895
bladder2;1768.7;13633349
bladder2;1769.6;8519908
bladder2;1772.7;19917989
bladder2;1775.6;5620893
bladder2;1776.7;7772815
bladder2;1788.7;65531737
bladder2;1789.7;157105768.4
bladder2;1805.7;44566395.3
bladder2;1846.7;9270342.4
bladder2;1869.6;26233035
bladder2;1877.7;16182577
bladder2;1885.7;27488706.8
bladder2;1893.7;90550613
bladder2;1902.7;120644446.4
bladder2;1909.7;76790392
bladder2;1915.7;8991338
bladder2;1918.7;96351435
bladder2;1929.6;7804776.8
bladder2;1930.7;15252608.5
bladder2;1931.6;5809077
bladder2;1932.7;16420242
bladder2;1934.7;416159788.3
bladder2;1935.7;42604419.6
bladder2;1940.7;7027501
bladder2;1948.7;36801345
bladder2;1950.7;787409685.8
bladder2;1951.7;26921938.2
bladder2;1956.7;37804224
bladder2;1963.8;6232449
bladder2;1967.7;51471389
bladder2;1972.7;65837473
bladder2;1975.8;5091884
bladder2;1976.7;5690958
bladder2;1978.7;16741798
bladder2;1979.8;22250410
bladder2;1991.7;6053758
bladder2;2008.7;18940808
bladder2;2008.8;9170106
bladder2;2024.8;7854852
bladder2;2038.8;24372056
bladder2;2039.7;8022713
bladder2;2040.8;13045171
bladder2;2054.8;6674773
bladder2;2055.7;10426664
bladder2;2064.7;6333606
bladder2;2064.8;5095492.5
bladder2;2078.8;16720181.8
bladder2;2080.8;626430879.8
bladder2;2081.8;81107468.6
bladder2;2094.7;32720584.1
bladder2;2094.8;6862451.8
bladder2;2096.8;1862982985
