Composition;M
N2H1F1;735.302968
N2H2;751.297882
N2H2F1;897.355791
N2H3;913.350705
N2H3+NH4;930.390705
N3H2;954.377255
N2H3p1;993.317036
N2H3F1;1059.408614
N2H4;1075.403528
N2H4+NH4;1092.443528
N3H2F1;1100.435164
N3H3;1116.430078
N2H4p1;1155.369859
N4H2;1157.456628
N3H3p1;1196.396409
N2H4F1;1221.461437
N2H5;1237.456351
N3H2F2;1246.493073
N2H5+NH4;1254.496351
N3H3F1;1262.487987
N3H4;1278.482901
N4H2F1;1303.514537
N2H5p1;1317.422682
N4H3;1319.509451
N3H4p1;1358.449232
N2H5F1;1383.51426
N2H5p2;1397.389013
N2H6;1399.509174
N3H3A1;1407.525495
N3H3F2;1408.545896
N2H6+NH4;1416.549174
N3H3G1;1423.520409
N3H4F1;1424.54081
N3H5;1440.535724
N4H2F2;1449.572446
N4H3F1;1465.56736
N2H6p1;1479.475505
N4H4;1481.562274
N3H5p1;1520.502055
N5H3;1522.588824
N3H3F1A1;1553.583404
N2H6p2;1559.441836
N2H7;1561.561997
N3H3F1G1 || N3H4A1;1569.578318
N3H4F2;1570.598719
N2H7+NH4;1578.601997
N3H4G1;1585.573232
N3H5F1;1586.593633
N4H2F3;1595.630355
N3H5p2;1600.468386
N3H6;1602.588547
N4H3A1;1610.604868
N4H3F2;1611.625269
N4H3G1;1626.599782
N4H4F1;1627.620183
N2H7p1;1641.528328
N4H5;1643.615097
N5H3F1;1668.646733
N3H6p1;1682.554878
N5H4;1684.641647
N3H3F2A1;1699.641313
N3H3F2G1 || N3H4F1A1;1715.636227
N2H7p2;1721.494659
N2H8;1723.61482
N6H3;1725.668197
N3H4F1G1 || N3H5A1;1731.631141
N3H5F2;1732.651542
N2H8+NH4;1740.65482
N3H5G1;1747.626055
N3H6F1;1748.646456
N4H3F1A1;1756.662777
N4H3F3;1757.683178
N3H6p2;1762.521209
N3H7;1764.64137
N4H3F1G1 || N4H4A1;1772.657691
N4H4F2;1773.678092
N4H4G1;1788.652605
N4H5F1;1789.673006
N4H5p2;1803.547759
N2H8p1;1803.581151
N4H6;1805.66792
N5H3F2;1814.704642
N5H4F1;1830.699556
N3H7p1;1844.607701
N5H5;1846.69447
N3H4F2A1;1861.694136
N6H3F1;1871.726106
N3H4F2G1 || N3H5F1A1;1877.68905
N2H9;1885.667643
N6H4;1887.72102
N3H5F1G1 || N3H6A1;1893.683964
N3H6F2;1894.704365
N2H9+NH4;1902.707643
N4H3F2A1 || N3H6G1;1902.720686
N3H6G1;1909.678878
N3H7F1;1910.699279
N4H3F2G1 || N4H4F1A1;1918.7156
N4H4F3;1919.736001
N3H7p2;1924.574032
N7H3;1928.74757
N4H4F1G1 || N4H5A1;1934.710514
N4H5F2;1935.730915
N4H5G1;1950.705428
N4H6F1;1951.725829
N5H3F3;1960.762551
N4H6p2;1965.600582
N4H7;1967.720743
N5H4A1;1975.737064
N5H4F2;1976.757465
N5H4G1;1991.731978
N5H5F1;1992.752379
N3H8p1;2006.660524
N5H6;2008.747293
N6H3F2;2017.784015
N3H5F2A1;2023.746959
N6H4F1;2033.778929
N3H5F2G1 || N3H6F1A1;2039.741873
N2H10;2047.720466
N4H3F3A1;2048.778595
N6H5;2049.773843
N3H6F1G1 || N3H7A1;2055.736787
N4H4A2;2063.753108
N2H10+NH4;2064.760466
N4H3F3G1 || N4H4F2A1;2064.773509
N3H7G1;2071.731701
N7H3F1;2074.805479
N4H4A1G1;2079.748022
N4H4F2G1 || N4H5F1A1;2080.768423
N4H5F3;2081.788824
N7H4;2090.800393
N4H4G2;2095.742936
N4H5F1G1 || N4H6A1;2096.763337
N4H6F2;2097.783738
N5H3F4;2106.82046
N4H6G1;2112.758251
N4H7F1;2113.778652
N5H4F1A1;2121.794973
N5H4F3;2122.815374
N4H7p2;2127.653405
N4H8;2129.773566
N5H4F1G1 || N5H5A1;2137.789887
N5H5F2;2138.810288
N5H5G1;2153.784801
N5H6F1;2154.805202
N6H3F3;2163.841924
N5H7;2170.800116
N6H4A1;2178.816437
N6H4F2;2179.836838
N3H6F2A1;2185.799782
N6H4G1;2194.811351
N6H5F1;2195.831752
N3H6F2G1 || N3H7F1A1;2201.794696
N2H11;2209.773289
N4H4F1A2;2209.811017
N4H4F3A1;2210.831418
N6H6;2211.826666
N3H7F1G1;2217.78961
N7H3F2;2220.863388
N4H4F1A1G1 || N4H5A2;2225.805931
N2H11+NH4;2226.813289
N4H4F3G1 || N4H5F2A1;2226.826332
N7H4F1;2236.858302
N4H4F1G2 || N4H5A1G1;2241.800845
N4H5F2G1 || N4H6F1A1;2242.821246
N7H5;2252.853216
N4H5G2;2257.795759
N4H6F1G1 || N4H7A1;2258.81616
N4H7F2;2259.836561
N5H4F2A1;2267.852882
N5H4F4;2268.873283
N4H7G1;2274.811074
N4H8F1;2275.831475
N5H4F2G1 || N5H5F1A1;2283.847796
N5H5F3;2284.868197
N8H4;2293.879766
N5H5F1G1 || N5H6A1;2299.84271
N5H6F2;2300.863111
N6H3F4;2309.899833
N5H6G1;2315.837624
N5H7F1;2316.858025
N6H4F1A1;2324.874346
N6H4F3;2325.894747
N5H8;2332.852939
N6H4F1G1 || N6H5A1;2340.86926
N6H5F2;2341.889661
N4H4F2A2;2355.868926
N6H5G1;2356.864174
N6H6F1;2357.884575
N7H3F3;2366.921297
N2H12;2371.826112
N4H4F2A1G1 || N4H5F1A2;2371.86384
N4H5F3A1;2372.884241
N6H7;2373.879489
N7H4A1;2381.89581
N7H4F2;2382.916211
N4H4F2G2 || N4H5F1A1G1 || N4H6A2;2387.858754
N2H12+NH4;2388.866112
N4H5F3G1 || N4H6F2A1;2388.879155
N7H4G1;2397.890724
N7H5F1;2398.911125
N4H5F1G2 || N4H6A1G1;2403.853668
N4H6F2G1 || N4H7F1A1;2404.874069
N5H4F3A1;2413.910791
N7H6;2414.906039
N4H6G2;2419.848582
N4H7F1G1 || N4H8A1;2420.868983
N5H5A2;2428.885304
N5H4F3G1 || N5H5F2A1;2429.905705
N5H5F4;2430.926106
N4H8G1;2436.863897
N8H4F1;2439.937675
N5H5A1G1;2444.880218
